#angle	angle_deriv	baseline_angle	action
-0.516202723145	0.0	-0.494506528685	0.0
-0.516311530095	-0.00544034751358	-0.493628825268	0.0
-0.516459174976	-0.00582872682316	-0.492612984153	0.0
-0.516547101318	-0.00561992074274	-0.491437983342	0.0
-0.516588065275	-0.00494149080507	-0.490079847133	0.0
-0.516699339933	-0.0049661678873	-0.488511315045	0.0
-0.516723485509	-0.00411955414304	-0.486701503212	0.0
-0.516724358698	-0.00265183722138	-0.484615570321	0.0
-0.516473981226	0.000731200928901	-0.482214405364	0.0
-0.515993613346	0.00594451928594	-0.4794543609	0.0
-0.515607132274	0.0109220765958	-0.476287063411	0.0
-0.51446109061	0.0226239489902	-0.472659341392	0.0
-0.511418102653	0.053062560452	-0.468513321972	0.0
-0.508149642094	0.0832433913164	-0.463786757319	0.0
-0.506037625538	0.0995598780881	-0.458413651753	0.0
-0.497450304639	0.181568276351	-0.45232526755	0.0
-0.489440199676	0.250208909345	-0.445451589402	0.0
-0.484680256267	0.267378463867	-0.437723320906	0.0
-0.467462752275	0.406868898185	-0.42907446755	0.0
-0.453745065981	0.522925595569	-0.419445525212	0.0
-0.446295928044	0.511543765949	-0.408787238097	0.0
-0.421909579806	0.675306198703	-0.3970648141	0.0
-0.404278070304	0.804021859625	-0.38426239175	0.0
-0.366797340903	1.0	-0.370387449591	0.0
-0.366797340903	0.869477250773	-0.355474751313	0.0
-0.327862827641	0.891586777511	-0.339589349588	0.0
-0.308373969072	0.842611880819	-0.322828153113	0.0
-0.289096118538	0.859075291142	-0.305319616975	0.0
-0.270175535208	0.673473830436	-0.287221258406	0.0
-0.260899249156	0.766236690959	-0.268714922672	0.0
-0.2427638716	0.850989560413	-0.25	0.0
-0.225260606997	0.831133620754	-0.231285077328	0.0
-0.208428786818	0.806673317199	-0.212778741594	0.0
-0.192279857435	0.778956777731	-0.194680383025	0.0
-0.169315953164	0.915832959922	-0.177171846887	0.0
-0.161986593988	0.807772776124	-0.160410650412	0.0
-0.140897730354	0.84362876643	-0.144525248687	0.0
-0.134147713139	0.742810736796	-0.129612550409	0.0
-0.11467150632	0.776083511152	-0.11573760825	0.0
-0.102323720789	0.669922323743	-0.1029351859	0.0
-0.0963473206113	0.656392733762	-0.0912127619032	0.0
-0.0792377930918	0.616599372618	-0.0805544747883	0.0
-0.0685627293435	0.655849837953	-0.0709255324502	0.0
-0.0634498229832	0.512216833367	-0.0622766790937	0.0
-0.0536701671637	0.486535536256	-0.0545484105978	0.0
-0.0444910708506	0.518562497607	-0.0476747324496	0.0
-0.035912441505	0.433253515868	-0.041586348247	0.0
-0.0279288098311	0.406339195124	-0.0362132426808	0.0
-0.0205330194751	0.42916803508	-0.0314866780285	0.0
-0.0137164797278	0.399536874359	-0.027340658608	0.0
-0.00746816123842	0.370229096122	-0.0237129365888	0.0
0.000868262767578	0.350441787374	-0.0205456391002	0.0
0.00575873466909	0.22170075162	-0.0177855946363	0.0
0.00801020936601	0.125228101091	-0.0153844296786	0.0
0.0121365710618	0.0157990866596	-0.0132984967884	0.0
0.0157779687719	-0.0830980753348	-0.011488684955	0.0
0.0189535367261	-0.180852739585	-0.00992015286704	0.0
0.0216838423234	-0.159251076543	-0.00856201665786	0.0
0.0249936939425	-0.169834845765	-0.00738701584664	0.0
0.0267084379485	-0.145718668866	-0.00637117473206	0.0
0.0274272813539	-0.11649312582	-0.0054934713153	0.0
0.0290618461978	-0.101083094717	-0.00473552179097	0.0
0.0297521235077	-0.0806828118434	-0.00408128557658	0.0
0.0301517593633	-0.0515806542081	-0.0035167935775	0.0
0.0302871819704	-0.0357874402195	-0.00302990074579	0.0
0.0302644244805	-0.0283714312657	-0.00261006284678	0.0
0.0298631490226	-0.0080130282481	-0.00224813658047	0.0
0.0296298817844	0.0012224172331	-0.00193620172034	0.0
0.0286655203932	0.0148623897012	-0.00166740365371	0.0
0.027831233326	0.0245594864438	-0.00143581457785	0.0
0.0273645113988	0.028999130817	-0.00123631157832	0.0
0.0257880326099	0.0407511641265	-0.00106446985798	0.0
0.0252120125635	0.0441786922087	-0.000916469471246	0.0
0.023359088761	0.0530643163213	-0.000789014030202	0.0
0.0220475991251	0.0578363420098	-0.000679259975214	0.0
0.0206983867724	0.0666612462633	-0.000584755132528	0.0
0.0193287826078	0.0645925000215	-0.000503385410043	0.0
0.018641661117	0.0657035144651	-0.00043332860554	0.0
0.0165834809375	0.0677560782357	-0.000373014416918	0.0
0.0159001120242	0.061474871009	-0.000321089850293	0.0
0.0138580110992	0.0684037567324	-0.000276389318462	0.0
0.0125032191159	0.0682556349191	-0.000237908809419	0.0
0.0111536615214	0.0748799959565	-0.000204783582493	0.0
0.0104808313831	0.0610264955433	-0.000176268918936	0.0
0.00913903876475	0.0676107325941	-0.000151723515014	0.0
0.00780236248852	0.0605564861066	-0.000130595159548	0.0
0.00580684311546	0.0669637600043	-0.000112408385117	0.0
0.00448276282875	0.0667089869262	-9.67538235506e-05	0.0
0.0031649262591	0.0731590512404	-8.32790323886e-05	0.0
0.00250922355825	0.066298152065	-7.16805904507e-05	0.0
0.00120632010838	0.0659604238014	-6.16972879932e-05	0.0
-7.97206377254e-05	0.0572712247773	-5.31042606491e-05	0.0
-0.00196098480492	0.0252177802383	-4.57079369261e-05	0.0
-0.00257132942699	0.00593596832103	-3.93416868557e-05	0.0
-0.00434105587044	-0.0183183231219	-3.38620748098e-05	0.0
-0.0049068435291	-0.0370052342072	-2.91456328306e-05	0.0
-0.00599842921943	-0.0591870858171	-2.50860823419e-05	0.0
-0.00752584747733	-0.0556486267241	-2.1591942066e-05	0.0
-0.00846339745601	-0.0589206802902	-1.85844685515e-05	0.0
-0.00933178575935	-0.0499072988891	-1.59958831359e-05	0.0
-0.0101283429914	-0.0522149946232	-1.37678455573e-05	0.0
-0.0108512474378	-0.0485281821839	-1.18501399406e-05	0.0
-0.0114992806676	-0.0397343319028	-1.019954364e-05	0.0
-0.0117949358407	-0.033315383847	-8.77885351125e-06	0.0
-0.0123292706005	-0.0299748484116	-7.55604772051e-06	0.0
