#angle	angle_deriv	baseline_angle	action
-0.515174334216	0.0	-0.494506528685	0.0
-0.51532383937	-0.00747525767916	-0.493628825268	0.0
-0.515464384844	-0.00738566088828	-0.492612984153	0.0
-0.515596198428	-0.00720874519105	-0.491437983342	0.0
-0.515719583839	-0.00694754776681	-0.490079847133	0.0
-0.515879567262	-0.00705233045444	-0.488511315045	0.0
-0.515913052164	-0.00589212794213	-0.486701503212	0.0
-0.515838907023	-0.00374522178796	-0.484615570321	0.0
-0.515727784224	-0.00131585795409	-0.482214405364	0.0
-0.514910896872	0.00808686967109	-0.4794543609	0.0
-0.514429655804	0.0144991145772	-0.476287063411	0.0
-0.512999523977	0.0291352818726	-0.472659341392	0.0
-0.509284066546	0.0655484047665	-0.468513321972	0.0
-0.507513960456	0.0821382376798	-0.463786757319	0.0
-0.502944106509	0.119667903633	-0.458413651753	0.0
-0.493008429837	0.214212259669	-0.45232526755	0.0
-0.483966443189	0.290330807874	-0.445451589402	0.0
-0.472910009372	0.363740571745	-0.437723320906	0.0
-0.466655773722	0.40858186734	-0.42907446755	0.0
-0.445156340386	0.577877661225	-0.419445525212	0.0
-0.428704205592	0.643042242451	-0.408787238097	0.0
-0.419894259447	0.640721837426	-0.3970648141	0.0
-0.401199926996	0.717100823761	-0.38426239175	0.0
-0.370749812217	0.959059615044	-0.370387449591	0.0
-0.360030543273	0.851257971138	-0.355474751313	0.0
-0.326471116133	1.0	-0.339589349588	0.0
-0.303183562437	1.0	-0.322828153113	0.0
-0.291348281939	1.0	-0.305319616975	0.0
-0.267468706058	1.0	-0.287221258406	0.0
-0.231550643399	1.0	-0.268714922672	0.0
-0.207856145634	1.0	-0.25	0.0
-0.184584821865	1.0	-0.231285077328	0.0
-0.173153201486	1.0	-0.212778741594	0.0
-0.150840667782	1.0	-0.194680383025	0.0
-0.118918697925	1.0	-0.177171846887	0.0
-0.0987501091259	1.0	-0.160410650412	0.0
-0.0890054235792	0.955793982858	-0.144525248687	0.0
-0.0436318195929	1.0	-0.129612550409	0.0
-0.0351931211675	1.0	-0.11573760825	0.0
-0.0110671446202	1.0	-0.1029351859	0.0
0.0040956707612	0.946544383647	-0.0912127619032	0.0
0.0185756202621	0.704298033171	-0.0805544747883	0.0
0.0324062030217	0.112256165713	-0.0709255324502	0.0
0.0455928835899	-0.103997624224	-0.0622766790937	0.0
0.0581232652922	-0.47056120672	-0.0545484105978	0.0
0.0699662478866	-0.658705771254	-0.0476747324496	0.0
0.075618391204	-0.570427709419	-0.041586348247	0.0
0.0863236606501	-0.539174576284	-0.0362132426808	0.0
0.100701772104	-0.551088885137	-0.0314866780285	0.0
0.108973767347	-0.508505020552	-0.027340658608	0.0
0.115979932676	-0.460136847891	-0.0237129365888	0.0
0.121518646836	-0.459002556315	-0.0205456391002	0.0
0.125482469607	-0.391588089572	-0.0177855946363	0.0
0.12788532456	-0.271835524565	-0.0153844296786	0.0
0.128740167162	-0.197663998148	-0.0132984967884	0.0
0.128057314332	-0.120773816564	-0.011488684955	0.0
0.125860256754	-0.0434160991839	-0.00992015286704	0.0
