Tue Apr 19 14:29:00 2016    prof

         750002 function calls (710226 primitive calls) in 1.671 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
     20/2    0.000    0.000    0.000    0.000 pyparsing.py:2225(streamline)
        1    0.000    0.000    0.000    0.000 msg_loader.py:352(MsgContext)
        1    0.000    0.000    0.000    0.000 bsr.py:8(<module>)
        1    0.000    0.000    0.000    0.000 symbol.py:3(<module>)
      940    0.000    0.000    0.000    0.000 _structures.py:43(__neg__)
        1    0.000    0.000    0.000    0.000 exceptions.py:35(<module>)
        1    0.000    0.000    0.000    0.000 names.py:39(<module>)
        1    0.000    0.000    0.000    0.000 mimetools.py:24(__init__)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       18    0.000    0.000    0.000    0.000 core.py:900(__init__)
       33    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       20    0.000    0.000    0.000    0.000 cbook.py:381(is_string_like)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 csc.py:10(swig_import_helper)
        1    0.000    0.000    0.000    0.000 compressed.py:2(<module>)
        5    0.000    0.000    0.000    0.000 environment.py:92(get_ros_root)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3036(delimitedList)
       12    0.000    0.000    0.000    0.000 posixpath.py:249(expanduser)
     1587    0.000    0.000    0.000    0.000 {callable}
        1    0.000    0.000    0.000    0.000 figure.py:203(Figure)
     22/3    0.000    0.000    0.000    0.000 pyparsing.py:2582(streamline)
        1    0.000    0.000    0.000    0.000 main.py:33(<module>)
      143    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 bsr.py:10(swig_import_helper)
        1    0.000    0.000    0.000    0.000 release_cache.py:34(<module>)
       66    0.000    0.000    0.000    0.000 __init__.py:2285(_is_unpacked_egg)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 polar.py:20(PolarAxes)
      406    0.000    0.000    0.000    0.000 sre_parse.py:210(isident)
        1    0.000    0.000    0.000    0.000 numerictypes.py:284(_add_types)
        1    0.000    0.000    0.000    0.000 scanner.py:46(Scanner)
       13    0.000    0.000    0.000    0.000 pyparsing.py:820(setParseAction)
        1    0.000    0.000    0.000    0.000 numerictypes.py:456(_set_array_types)
        1    0.000    0.000    0.000    0.000 legend.py:86(Legend)
        7    0.000    0.000    0.000    0.000 parser.py:215(_convert)
      378    0.000    0.000    0.000    0.000 {max}
        1    0.000    0.000    0.000    0.000 coo.py:8(<module>)
      239    0.000    0.000    0.000    0.000 __init__.py:974(_added_new)
        4    0.000    0.000    0.000    0.000 {eval}
        1    0.000    0.000    0.000    0.000 patches.py:872(Arrow)
      155    0.000    0.000    0.000    0.000 minidom.py:674(getAttribute)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hashlib.py:55(<module>)
       47    0.000    0.000    0.000    0.000 docstring.py:78(__call__)
      556    0.000    0.000    0.000    0.000 version.py:362(<lambda>)
        1    0.000    0.000    0.000    0.000 expatbuilder.py:133(ExpatBuilder)
        1    0.000    0.000    0.000    0.000 doc_repository_specification.py:34(<module>)
        1    0.000    0.000    0.000    0.000 coo.py:10(swig_import_helper)
        1    0.000    0.000    0.000    0.000 _cm.py:5(<module>)
        1    0.000    0.000    0.000    0.000 rfc822.py:88(__init__)
        1    0.000    0.000    0.000    0.000 hex_codec.py:8(<module>)
        1    0.000    0.000    0.000    0.000 emitter.py:9(<module>)
      330    0.000    0.000    0.000    0.000 __init__.py:2013(__init__)
        7    0.000    0.000    0.000    0.000 pyparsing.py:2749(__init__)
        1    0.000    0.000    0.000    0.000 dia.py:8(<module>)
       47    0.000    0.000    0.000    0.000 cbook.py:372(iterable)
        1    0.000    0.000    0.000    0.000 spines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 httplib.py:238(readheaders)
        1    0.000    0.000    0.000    0.000 nodes.py:2(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2568(MaskedArray)
        1    0.000    0.000    0.000    0.000 topics.py:1034(_TopicManager)
      470    0.000    0.000    0.000    0.000 version.py:342(_parse_local_version)
       32    0.000    0.000    0.000    0.000 pyparsing.py:1633(parseImpl)
      112    0.000    0.000    0.000    0.000 {repr}
       14    0.000    0.000    0.000    0.000 minicompat.py:102(defproperty)
        1    0.000    0.000    0.000    0.000 _import_tools.py:7(__init__)
        1    0.000    0.000    0.000    0.000 stack.py:35(<module>)
       13    0.000    0.000    0.000    0.000 functions.py:60(zeros)
        1    0.000    0.000    0.000    0.000 rospkg_loader.py:33(<module>)
       74    0.000    0.000    0.000    0.000 _inspect.py:150(strseq)
        7    0.000    0.000    0.000    0.000 codecs.py:681(next)
       17    0.000    0.000    0.000    0.000 __init__.py:210(_acquireLock)
      494    0.000    0.000    0.000    0.000 StringIO.py:38(_complain_ifclosed)
        1    0.000    0.000    0.000    0.000 dia.py:10(swig_import_helper)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.000    0.000    0.000    0.000 csgraph.py:10(swig_import_helper)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rostime.py:35(<module>)
        1    0.000    0.000    0.000    0.000 axis3d.py:6(<module>)
        1    0.000    0.000    0.000    0.000 mathtext.py:2056(Parser)
        7    0.000    0.000    0.000    0.000 codecs.py:612(next)
        1    0.000    0.000    0.000    0.000 parser.py:62(<module>)
        3    0.000    0.000    0.000    0.000 subprocess.py:1085(pipe_cloexec)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
      228    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       38    0.000    0.000    0.000    0.000 numeric.py:2121(geterr)
        1    0.000    0.000    0.000    0.000 text.py:1674(Annotation)
        3    0.000    0.000    0.000    0.000 launcher.py:64(_append_package_paths)
        1    0.000    0.000    0.000    0.000 _SetLoggerLevel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:288(DoubleVar)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 gridspec.py:15(<module>)
        1    0.000    0.000    0.000    0.000 rostime.py:40(<module>)
       39    0.000    0.000    0.000    0.000 minidom.py:1132(__init__)
        1    0.000    0.000    0.000    0.000 _Log.py:1(<module>)
        2    0.000    0.000    0.000    0.000 random.py:91(__init__)
        1    0.000    0.000    0.000    0.000 xmlreader.py:11(XMLReader)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:306(prep_simple)
        7    0.000    0.000    0.000    0.000 specifiers.py:276(_require_version_compare)
        1    0.000    0.000    0.000    0.000 threading.py:767(__init__)
        6    0.000    0.000    0.000    0.000 os_detect.py:61(read_issue)
       48    0.000    0.000    0.000    0.000 minidom.py:520(__getitem__)
        1    0.000    0.000    0.000    0.000 proj3d.py:6(<module>)
       11    0.000    0.000    0.000    0.000 pyparsing.py:1678(__str__)
       36    0.000    0.000    0.000    0.000 pyparsing.py:403(__iadd__)
       20    0.000    0.000    0.000    0.000 {fcntl.fcntl}
        7    0.000    0.000    0.000    0.000 codecs.py:503(readline)
       29    0.000    0.000    0.000    0.000 minidom.py:481(items)
        1    0.000    0.000    0.000    0.000 subprocess.py:1027(_get_handles)
        1    0.000    0.000    0.000    0.000 ssl.py:56(<module>)
        2    0.000    0.000    0.000    0.000 socket.py:223(meth)
        1    0.000    0.000    0.000    0.000 error.py:2(<module>)
       10    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        1    0.000    0.000    0.000    0.000 minicompat.py:1(<module>)
       30    0.000    0.000    0.000    0.000 numerictypes.py:448(_add_array_type)
        2    0.000    0.000    0.000    0.000 random.py:100(seed)
        1    0.000    0.000    0.000    0.000 appdirs.py:30(<module>)
       26    0.000    0.000    0.000    0.000 artist.py:28(allow_rasterization)
        1    0.000    0.000    0.000    0.000 redhat.py:31(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:321(__delitem__)
        8    0.000    0.000    0.000    0.000 resolver.py:25(add_implicit_resolver)
       12    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
        1    0.000    0.000    0.000    0.000 __init__.py:634(RcParams)
       20    0.000    0.000    0.000    0.000 UserDict.py:58(get)
       54    0.000    0.000    0.000    0.000 __init__.py:664(__getitem__)
      146    0.000    0.000    0.000    0.000 package.py:291(__init__)
        7    0.000    0.000    0.000    0.000 pyparsing.py:1215(__or__)
       17    0.000    0.000    0.000    0.000 threading.py:120(acquire)
        1    0.000    0.000    0.000    0.000 collections.py:26(Collection)
        9    0.000    0.000    0.000    0.000 urlparse.py:152(_splitnetloc)
       29    0.000    0.000    0.000    0.000 pyparsing.py:1345(__str__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:459(copy)
        1    0.000    0.000    0.000    0.000 load_goals.py:2(<module>)
        1    0.000    0.000    0.000    0.000 composer.py:2(<module>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2665(__init__)
       74    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
       17    0.000    0.000    0.000    0.000 pyparsing.py:688(setName)
        1    0.000    0.000    0.000    0.000 serializer.py:2(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:341(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 interpolate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bezier.py:3(<module>)
       45    0.000    0.000    0.000    0.000 docstring.py:39(update)
        1    0.000    0.000    0.000    0.000 transforms.py:697(Bbox)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        4    0.000    0.000    0.000    0.000 tempfile.py:123(rng)
      193    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 parser.py:700(_tzparser)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        6    0.000    0.000    0.000    0.000 {posix.fdopen}
        1    0.000    0.000    0.000    0.000 _compat.py:38(__new__)
       21    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
        1    0.000    0.000    0.000    0.000 dependency_graph.py:30(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:785(_construct_lookups)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3213(<lambda>)
      156    0.000    0.000    0.000    0.000 __init__.py:2050(__init__)
        4    0.000    0.000    0.000    0.000 threading.py:180(Condition)
        1    0.000    0.000    0.000    0.000 stack_manifest.py:41(<module>)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 message.py:92(Message)
      117    0.000    0.000    0.000    0.000 minidom.py:954(__setattr__)
      135    0.000    0.000    0.000    0.000 markers.py:675(<lambda>)
        1    0.000    0.000    0.000    0.000 _Int8MultiArray.py:1(<module>)
        6    0.000    0.000    0.000    0.000 subprocess.py:1072(_set_cloexec_flag)
        1    0.000    0.000    0.000    0.000 text.py:141(Text)
        4    0.000    0.000    0.000    0.000 tempfile.py:47(_set_cloexec)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1409(setName)
        1    0.000    0.000    0.000    0.000 dok.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {posix.unlink}
       71    0.000    0.000    0.000    0.000 package.py:314(__init__)
       17    0.000    0.000    0.000    0.000 __init__.py:219(_releaseLock)
       24    0.000    0.000    0.000    0.000 random.py:272(choice)
        5    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 saxutils.py:4(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:14(<module>)
       32    0.000    0.000    0.000    0.000 pyparsing.py:1464(parseImpl)
       46    0.000    0.000    0.000    0.000 pyplot.py:1940(autogen_docstring)
        1    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 relativedelta.py:6(<module>)
        1    0.000    0.000    0.000    0.000 scale.py:448(get_scale_docs)
       72    0.000    0.000    0.000    0.000 pyparsing.py:873(preParse)
        1    0.000    0.000    0.000    0.000 units.py:44(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:30(with_metaclass)
      176    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 axes3d.py:33(Axes3D)
      161    0.000    0.000    0.000    0.000 __init__.py:2016(has_metadata)
       54    0.000    0.000    0.000    0.000 package.py:152(is_metapackage)
        1    0.000    0.000    0.000    0.000 FixTk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:435(__init__)
        1    0.000    0.000    0.000    0.000 SocketServer.py:120(<module>)
      241    0.000    0.000    0.000    0.000 {imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        7    0.000    0.000    0.000    0.000 pyparsing.py:2400(__init__)
        3    0.000    0.000    0.000    0.000 decimal.py:3776(__init__)
       40    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       11    0.000    0.000    0.000    0.000 __init__.py:1100(__init__)
        2    0.000    0.000    0.000    0.000 version.py:263(__init__)
        4    0.000    0.000    0.000    0.000 threading.py:185(__init__)
       13    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
       13    0.000    0.000    0.000    0.000 pyparsing.py:726(_normalizeParseActionArgs)
       98    0.000    0.000    0.000    0.000 rcsetup.py:40(func)
        1    0.000    0.000    0.000    0.000 github.py:34(<module>)
        1    0.000    0.000    0.000    0.000 timer.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _Logger.py:1(<module>)
        1    0.000    0.000    0.000    0.000 workspace.py:39(get_workspaces)
        6    0.000    0.000    0.000    0.000 core.py:1047(__init__)
       10    0.000    0.000    0.000    0.000 __init__.py:1044(_fixupParents)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:2(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3121(_escapeRegexRangeChars)
        1    0.000    0.000    0.000    0.000 numpytest.py:1(<module>)
        3    0.000    0.000    0.000    0.000 manifest.py:85(check)
        1    0.000    0.000    0.000    0.000 transport.py:41(<module>)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1256(AnnotationBbox)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        2    0.000    0.000    0.000    0.000 version.py:268(parse)
        1    0.000    0.000    0.000    0.000 <string>:6(Polynomial)
        1    0.000    0.000    0.000    0.000 socket.py:179(_socketobject)
        1    0.000    0.000    0.000    0.000 typeconv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 model.py:39(<module>)
       12    0.000    0.000    0.000    0.000 xmlrpclib.py:817(end)
       17    0.000    0.000    0.000    0.000 threading.py:140(release)
        7    0.000    0.000    0.000    0.000 threading.py:100(RLock)
       11    0.000    0.000    0.000    0.000 npyio.py:737(split_line)
        1    0.000    0.000    0.000    0.000 loader.py:34(<module>)
        1    0.000    0.000    0.000    0.000 simple_basis_functions.py:9(__init__)
       39    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
        1    0.000    0.000    0.000    0.000 package.py:34(<module>)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
      117    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
       18    0.000    0.000    0.000    0.000 arrayprint.py:312(_extendLine)
      428    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
      110    0.000    0.000    0.000    0.000 pkgutil.py:173(__init__)
       29    0.000    0.000    0.000    0.000 manifest.py:176(__init__)
        1    0.000    0.000    0.000    0.000 <string>:6(Legendre)
        1    0.000    0.000    0.000    0.000 os_detect.py:254(is_os)
        1    0.000    0.000    0.000    0.000 lil.py:2(<module>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2004(__init__)
       43    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
        1    0.000    0.000    0.000    0.000 spines.py:17(Spine)
        1    0.000    0.000    0.000    0.000 <string>:6(Chebyshev)
        1    0.000    0.000    0.000    0.000 collections.py:719(RegularPolyCollection)
        1    0.000    0.000    0.000    0.000 BaseHTTPServer.py:18(<module>)
        1    0.000    0.000    0.000    0.000 rospack.py:54(__init__)
       25    0.000    0.000    0.000    0.000 __init__.py:231(report)
        1    0.000    0.000    0.000    0.000 collections.py:581(PathCollection)
       15    0.000    0.000    0.000    0.000 manifest.py:158(_check)
        1    0.000    0.000    0.000    0.000 geo.py:245(AitoffAxes)
        6    0.000    0.000    0.000    0.000 decimal.py:515(__new__)
       13    0.000    0.000    0.000    0.000 __init__.py:2301(yield_lines)
        1    0.000    0.000    0.000    0.000 rep3.py:28(<module>)
        1    0.000    0.000    0.000    0.000 rfc822.py:71(<module>)
        1    0.000    0.000    0.000    0.000 <string>:6(Hermite)
        1    0.000    0.000    0.000    0.000 <string>:6(HermiteE)
      114    0.000    0.000    0.000    0.000 expatbuilder.py:721(_initNamespaces)
        1    0.000    0.000    0.000    0.000 patches.py:2082(FancyBboxPatch)
        1    0.000    0.000    0.000    0.000 Tkinter.py:339(Misc)
       17    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1275(__invert__)
        1    0.000    0.000    0.000    0.000 _UInt64MultiArray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 image.py:31(_AxesImageBase)
        7    0.000    0.000    0.000    0.000 __init__.py:648(__setitem__)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        1    0.000    0.000    0.000    0.000 _structures.py:14(<module>)
        2    0.000    0.000    0.000    0.000 httplib.py:540(read)
        1    0.000    0.000    0.000    0.000 sources_list.py:115(get_sources_cache_dir)
        4    0.000    0.000    0.000    0.000 codecs.py:424(read)
        1    0.000    0.000    0.000    0.000 _ByteMultiArray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 gem.py:32(<module>)
       22    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        1    0.000    0.000    0.000    0.000 rospack.py:399(__init__)
        5    0.000    0.000    0.000    0.000 environment.py:170(_compute_package_paths)
        1    0.000    0.000    0.000    0.000 subprocess.py:1286(wait)
        1    0.000    0.000    0.000    0.000 _Header.py:1(<module>)
       33    0.000    0.000    0.000    0.000 core.py:5634(isMaskedArray)
      241    0.000    0.000    0.000    0.000 {imp.release_lock}
        1    0.000    0.000    0.000    0.000 _Int16MultiArray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:987(EllipseCollection)
        1    0.000    0.000    0.000    0.000 _MultiArrayDimension.py:1(<module>)
       13    0.000    0.000    0.000    0.000 typeconv.py:22(convtypecode)
        1    0.000    0.000    0.000    0.000 codecs.py:841(open)
       16    0.000    0.000    0.000    0.000 {locals}
        1    0.000    0.000    0.000    0.000 _MultiArrayLayout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 machar.py:4(<module>)
        1    0.000    0.000    0.000    0.000 coo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ColorRGBA.py:1(<module>)
        8    0.000    0.000    0.000    0.000 sources_list.py:260(matches)
       65    0.000    0.000    0.000    0.000 collections.py:294(<genexpr>)
        1    0.000    0.000    0.000    0.000 axis.py:593(Axis)
        1    0.000    0.000    0.000    0.000 masterslave.py:165(ROSHandler)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2632(__init__)
        1    0.000    0.000    0.000    0.000 transforms.py:1638(IdentityTransform)
      174    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _Float64.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cbook.py:111(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 _Float64MultiArray.py:1(<module>)
       29    0.000    0.000    0.000    0.000 package.py:272(__init__)
        1    0.000    0.000    0.000    0.000 _Bool.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _Int64MultiArray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _Float32MultiArray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 token.py:3(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:3207(<lambda>)
        1    0.000    0.000    0.000    0.000 _Int32MultiArray.py:1(<module>)
       75    0.000    0.000    0.000    0.000 pyparsing.py:1301(setWhitespaceChars)
        1    0.000    0.000    0.000    0.000 _UInt16MultiArray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _UInt32MultiArray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 index.py:34(<module>)
        1    0.000    0.000    0.000    0.000 common.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _Int16.py:1(<module>)
       40    0.000    0.000    0.000    0.000 numerictypes.py:157(english_upper)
        1    0.000    0.000    0.000    0.000 collections.py:616(PolyCollection)
        1    0.000    0.000    0.000    0.000 __init__.py:992(Environment)
        1    0.000    0.000    0.000    0.000 develdistro.py:1(<module>)
       10    0.000    0.000    0.000    0.000 arrayprint.py:485(_digits)
        1    0.000    0.000    0.000    0.000 geo.py:330(HammerAxes)
        1    0.000    0.000    0.000    0.000 Dialog.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _Int32.py:1(<module>)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:3598(FancyArrowPatch)
        1    0.000    0.000    0.000    0.000 data.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _Float32.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:702(_result)
        1    0.000    0.000    0.000    0.000 getopt.py:15(<module>)
        1    0.000    0.000    0.000    0.000 shell_utils.py:30(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:433(_construct_char_code_lookup)
        7    0.000    0.000    0.000    0.000 threading.py:105(__init__)
        1    0.000    0.000    0.000    0.000 srvs.py:36(<module>)
        1    0.000    0.000    0.000    0.000 _UInt8.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _Duration.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _Byte.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:102(_get_sorted_names)
        1    0.000    0.000    0.000    0.000 _String.py:1(<module>)
        1    0.000    0.000    0.000    0.000 os_detect.py:298(is_os)
        1    0.000    0.000    0.000    0.000 _Time.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _Char.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _Int8.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1695(chararray)
        1    0.000    0.000    0.000    0.000 _UInt64.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dia.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _UInt32.py:1(<module>)
        1    0.000    0.000    0.000    0.000 release.py:34(<module>)
        1    0.000    0.000    0.000    0.000 _UInt16.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _Int64.py:1(<module>)
       71    0.000    0.000    0.000    0.000 docstring.py:90(do_copy)
        7    0.000    0.000    0.000    0.000 {numpy.core.multiarray.arange}
       30    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 parser.py:290(parser)
        1    0.000    0.000    0.000    0.000 __init__.py:3092(_initialize)
        1    0.000    0.000    0.000    0.000 environment.py:114(get_ros_home)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2267(And)
        1    0.000    0.000    0.000    0.000 xmlrpclib.py:1047(dumps)
        2    0.000    0.000    0.000    0.000 {posix.urandom}
        1    0.000    0.000    0.000    0.000 __init__.py:268(get_supported_platform)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 geo.py:416(MollweideAxes)
       57    0.000    0.000    0.000    0.000 expatbuilder.py:232(_setup_subset)
        1    0.000    0.000    0.000    0.000 msg.py:35(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2768(__str__)
        1    0.000    0.000    0.000    0.000 scale.py:302(SymmetricalLogScale)
        1    0.000    0.000    0.000    0.000 doc_build_file.py:34(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _inspect.py:6(<module>)
        1    0.000    0.000    0.000    0.000 geo.py:514(LambertAxes)
        9    0.000    0.000    0.000    0.000 core.py:2424(__init__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:45(_python_build)
       18    0.000    0.000    0.000    0.000 os_detect.py:507(register_default)
        1    0.000    0.000    0.000    0.000 patches.py:3946(ConnectionPatch)
        1    0.000    0.000    0.000    0.000 expat.py:1(<module>)
       57    0.000    0.000    0.000    0.000 utils.py:93(_set_function_name)
       14    0.000    0.000    0.000    0.000 numerictypes.py:184(english_capitalize)
        1    0.000    0.000    0.000    0.000 locale.py:568(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 release_file.py:34(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:239(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 backend_agg.py:43(RendererAgg)
        1    0.000    0.000    0.000    0.000 ufuncs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:955(CircleCollection)
        1    0.000    0.000    0.000    0.000 _Clock.py:1(<module>)
        3    0.000    0.000    0.000    0.000 manifest.py:131(_check_rosdeps)
        1    0.000    0.000    0.000    0.000 decimal.py:506(Decimal)
        1    0.000    0.000    0.000    0.000 threading.py:363(Event)
       74    0.000    0.000    0.000    0.000 __init__.py:3015(cls)
       52    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2947(__init__)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2(<module>)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        2    0.000    0.000    0.000    0.000 getlimits.py:234(__init__)
        1    0.000    0.000    0.000    0.000 tricontour.py:1(<module>)
        4    0.000    0.000    0.000    0.000 legend_handler.py:159(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1394(FigureCanvasBase)
       15    0.000    0.000    0.000    0.000 {numpy.core.multiarray.zeros}
        1    0.000    0.000    0.000    0.000 source_build_file.py:34(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:434(_asStringList)
        3    0.000    0.000    0.000    0.000 manifest.py:100(_check_platform)
        1    0.000    0.000    0.000    0.000 repository_specification.py:35(<module>)
        1    0.000    0.000    0.000    0.000 source_file.py:34(<module>)
        1    0.000    0.000    0.000    0.000 httplib.py:524(close)
        1    0.000    0.000    0.000    0.000 exceptions.py:38(<module>)
        1    0.000    0.000    0.000    0.000 doc_file.py:34(<module>)
        1    0.000    0.000    0.000    0.000 msproxy.py:40(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 uu.py:31(<module>)
       23    0.000    0.000    0.000    0.000 {_struct.calcsize}
       40    0.000    0.000    0.000    0.000 _inspect.py:24(isfunction)
        1    0.000    0.000    0.000    0.000 threading.py:370(__init__)
