Tue Apr 19 14:29:00 2016    prof

         750002 function calls (710226 primitive calls) in 1.671 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     26/1    0.000    0.000    0.026    0.026 _import_tools.py:49(_init_info_modules)
      646    0.005    0.000    0.025    0.000 copy.py:253(_deepcopy_dict)
     37/6    0.001    0.000    0.025    0.004 _import_tools.py:29(_get_info_files)
        1    0.000    0.000    0.024    0.024 base.py:33(<module>)
        1    0.000    0.000    0.024    0.024 inspect.py:25(<module>)
       74    0.000    0.000    0.024    0.000 glob.py:10(glob)
 1750/136    0.003    0.000    0.023    0.000 glob.py:18(iglob)
      486    0.002    0.000    0.022    0.000 __init__.py:2480(__init__)
        1    0.000    0.000    0.022    0.022 specifiers.py:14(<module>)
        1    0.000    0.000    0.021    0.021 type_check.py:3(<module>)
        1    0.001    0.001    0.021    0.021 rcsetup.py:14(<module>)
    28674    0.014    0.000    0.021    0.000 stat.py:40(S_ISDIR)
    11109    0.006    0.000    0.020    0.000 sre_parse.py:201(get)
        1    0.000    0.000    0.019    0.019 specifiers.py:285(Specifier)
        1    0.000    0.000    0.019    0.019 tokenize.py:23(<module>)
    46512    0.019    0.000    0.019    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.019    0.019 __init__.py:966(subscribe)
      143    0.001    0.000    0.018    0.000 sre_compile.py:361(_compile_info)
      239    0.000    0.000    0.018    0.000 __init__.py:3127(<lambda>)
      239    0.001    0.000    0.018    0.000 __init__.py:2641(activate)
        1    0.001    0.001    0.018    0.018 fontconfig_pattern.py:7(<module>)
    10424    0.015    0.000    0.018    0.000 copy.py:267(_keep_alive)
      480    0.001    0.000    0.018    0.000 __init__.py:1376(safe_version)
        1    0.001    0.001    0.017    0.017 gbpdistro_support.py:1(<module>)
    12655    0.014    0.000    0.016    0.000 sre_parse.py:182(__next)
        1    0.000    0.000    0.015    0.015 __init__.py:46(<module>)
        1    0.001    0.001    0.014    0.014 client.py:37(<module>)
       11    0.000    0.000    0.014    0.001 artist.py:1212(kwdoc)
        1    0.000    0.000    0.014    0.014 reader.py:18(<module>)
        1    0.000    0.000    0.014    0.014 reader.py:45(Reader)
        1    0.001    0.001    0.014    0.014 pyparsing.py:59(<module>)
      480    0.005    0.000    0.013    0.000 version.py:208(__init__)
      324    0.003    0.000    0.013    0.000 package.py:594(_get_dependencies)
     1550    0.003    0.000    0.013    0.000 glob.py:63(glob0)
      630    0.001    0.000    0.012    0.000 ElementTree.py:694(find)
        1    0.001    0.001    0.012    0.012 text.py:3(<module>)
    67408    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
    45201    0.011    0.000    0.011    0.000 {method 'endswith' of 'str' objects}
        1    0.001    0.001    0.011    0.011 font_manager.py:21(<module>)
      630    0.002    0.000    0.011    0.000 {built-in method find}
     1032    0.001    0.000    0.011    0.000 pyexpat.c:566(StartElement)
        2    0.011    0.006    0.011    0.006 sre_compile.py:301(_optimize_unicode)
        1    0.000    0.000    0.011    0.011 launcher.py:37(<module>)
        1    0.000    0.000    0.011    0.011 resolver.py:2(<module>)
        1    0.000    0.000    0.010    0.010 rosdistrohelper.py:30(<module>)
        3    0.001    0.000    0.010    0.003 __init__.py:35(<module>)
     1020    0.004    0.000    0.010    0.000 expatbuilder.py:743(start_element_handler)
      810    0.010    0.000    0.010    0.000 package.py:548(_get_nodes)
        1    0.003    0.003    0.010    0.010 __init__.py:34(<module>)
     1522    0.007    0.000    0.010    0.000 package.py:260(__eq__)
       11    0.001    0.000    0.009    0.001 artist.py:929(pprint_setters)
        1    0.001    0.001    0.009    0.009 installers.py:30(<module>)
     1992    0.001    0.000    0.009    0.000 pyexpat.c:441(CharacterData)
      630    0.003    0.000    0.009    0.000 ElementPath.py:283(find)
        1    0.001    0.001    0.009    0.009 collections.py:10(<module>)
      868    0.003    0.000    0.009    0.000 package.py:566(_get_node_value)
        1    0.001    0.001    0.009    0.009 os_detect.py:34(<module>)
       13    0.007    0.001    0.009    0.001 collections.py:237(namedtuple)
 2000/720    0.007    0.000    0.009    0.000 sre_parse.py:140(getwidth)
        1    0.001    0.001    0.008    0.008 urllib.py:23(<module>)
     1979    0.006    0.000    0.008    0.000 expatbuilder.py:274(character_data_handler_cdata)
        3    0.001    0.000    0.008    0.003 __init__.py:6(<module>)
      262    0.006    0.000    0.008    0.000 function_base.py:3178(add_newdoc)
     1560    0.003    0.000    0.008    0.000 posixpath.py:140(lexists)
      626    0.007    0.000    0.008    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      239    0.005    0.000    0.008    0.000 __init__.py:2722(insert_on)
     5956    0.005    0.000    0.008    0.000 sre_parse.py:130(__getitem__)
        1    0.000    0.000    0.007    0.007 platform.py:10(<module>)
        1    0.000    0.000    0.007    0.007 scale.py:1(<module>)
        2    0.001    0.001    0.007    0.004 rospack.py:33(<module>)
    29155    0.007    0.000    0.007    0.000 stat.py:24(S_IFMT)
        1    0.001    0.001    0.007    0.007 backend_bases.py:29(<module>)
        1    0.000    0.000    0.007    0.007 version.py:14(<module>)
      738    0.007    0.000    0.007    0.000 {open}
       54    0.001    0.000    0.007    0.000 package.py:161(validate)
        1    0.001    0.001    0.007    0.007 ticker.py:124(<module>)
        1    0.001    0.001    0.006    0.006 __init__.py:45(<module>)
     1931    0.006    0.000    0.006    0.000 {posix.lstat}
       79    0.001    0.000    0.006    0.000 posixpath.py:355(realpath)
      458    0.001    0.000    0.006    0.000 re.py:134(match)
        1    0.000    0.000    0.006    0.006 lookup.py:537(create_rosdep_view)
      686    0.006    0.000    0.006    0.000 {method '__reduce_ex__' of 'object' objects}
        6    0.003    0.001    0.006    0.001 lookup.py:195(merge)
       14    0.000    0.000    0.006    0.000 pyparsing.py:1705(__init__)
        1    0.000    0.000    0.006    0.006 __init__.py:14(pylab_setup)
      139    0.000    0.000    0.006    0.000 minidom.py:44(toxml)
        1    0.000    0.000    0.006    0.006 font_manager.py:930(pickle_load)
        1    0.000    0.000    0.006    0.006 version.py:201(Version)
        1    0.005    0.005    0.006    0.006 {cPickle.load}
        1    0.002    0.002    0.006    0.006 backend_tkagg.py:3(<module>)
        1    0.004    0.004    0.006    0.006 polynomial.py:48(<module>)
      139    0.000    0.000    0.005    0.000 minidom.py:47(toprettyxml)
        1    0.001    0.001    0.005    0.005 decimal.py:116(<module>)
    27256    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
       45    0.000    0.000    0.005    0.000 __init__.py:2179(_handle_ns)
    25701    0.005    0.000    0.005    0.000 {getattr}
      486    0.002    0.000    0.005    0.000 __init__.py:761(add)
        1    0.000    0.000    0.005    0.005 masterapi.py:38(<module>)
        1    0.002    0.002    0.005    0.005 cm.py:6(<module>)
        1    0.002    0.002    0.005    0.005 cElementTree.py:3(<module>)
        1    0.004    0.004    0.005    0.005 chebyshev.py:78(<module>)
        1    0.001    0.001    0.005    0.005 artist.py:1(<module>)
        1    0.002    0.002    0.005    0.005 core.py:35(<module>)
       11    0.000    0.000    0.005    0.000 artist.py:788(__init__)
        6    0.000    0.000    0.005    0.001 string.py:148(substitute)
        1    0.002    0.002    0.005    0.005 __init__.py:38(<module>)
     3038    0.004    0.000    0.005    0.000 minidom.py:274(_append_child)
    14668    0.005    0.000    0.005    0.000 {isinstance}
       11    0.002    0.000    0.005    0.000 artist.py:805(get_aliases)
        1    0.000    0.000    0.005    0.005 sources_list.py:269(create_default)
        1    0.001    0.001    0.005    0.005 constructor.py:2(<module>)
        1    0.004    0.004    0.005    0.005 laguerre.py:50(<module>)
        1    0.000    0.000    0.005    0.005 os_detect.py:519(detect_os)
       44    0.000    0.000    0.005    0.000 pkgutil.py:176(find_module)
        1    0.000    0.000    0.005    0.005 parser.py:5(<module>)
        1    0.004    0.004    0.005    0.005 hermite.py:50(<module>)
        1    0.001    0.001    0.004    0.004 xmlrpc.py:35(<module>)
40389/39647    0.004    0.000    0.004    0.000 {len}
        1    0.000    0.000    0.004    0.004 stacks.py:40(<module>)
        1    0.004    0.004    0.004    0.004 hermite_e.py:50(<module>)
     1318    0.004    0.000    0.004    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.004    0.004 feedparser.py:20(<module>)
        1    0.000    0.000    0.004    0.004 linear_approximation.py:30(__init__)
        1    0.003    0.003    0.004    0.004 legendre.py:51(<module>)
        1    0.001    0.001    0.004    0.004 dates.py:109(<module>)
       11    0.002    0.000    0.004    0.000 artist.py:857(_get_setters_and_targets)
       64    0.000    0.000    0.004    0.000 glob.py:49(glob1)
        1    0.003    0.003    0.004    0.004 afm.py:35(<module>)
        1    0.000    0.000    0.004    0.004 osx.py:31(<module>)
     7973    0.002    0.000    0.004    0.000 __init__.py:2278(_normalize_cached)
        1    0.001    0.001    0.004    0.004 packages.py:40(<module>)
        1    0.000    0.000    0.004    0.004 _internal.py:4(<module>)
      394    0.001    0.000    0.004    0.000 artist.py:830(get_valid_values)
        1    0.000    0.000    0.004    0.004 constructor.py:161(SafeConstructor)
        2    0.000    0.000    0.004    0.002 __init__.py:2206(declare_namespace)
        1    0.001    0.001    0.004    0.004 patches.py:3(<module>)
     4667    0.002    0.000    0.004    0.000 sre_parse.py:195(match)
     2005    0.004    0.000    0.004    0.000 linear_approximation.py:49(setWeights)
 1710/786    0.003    0.000    0.004    0.000 ElementPath.py:98(select)
       79    0.004    0.000    0.004    0.000 sre_compile.py:258(_mk_bitmap)
        1    0.000    0.000    0.004    0.004 lines.py:4(<module>)
     2005    0.004    0.000    0.004    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.003    0.001 manifest.py:417(parse_manifest)
      166    0.000    0.000    0.003    0.000 cbook.py:975(dedent)
       12    0.000    0.000    0.003    0.000 _import_tools.py:239(_execcmd)
        1    0.000    0.000    0.003    0.003 message.py:5(<module>)
      158    0.000    0.000    0.003    0.000 docstring.py:83(dedent)
        1    0.001    0.001    0.003    0.003 SimpleXMLRPCServer.py:97(<module>)
        9    0.000    0.000    0.003    0.000 pyparsing.py:1582(__init__)
     1020    0.003    0.000    0.003    0.000 minidom.py:646(__init__)
    30352    0.003    0.000    0.003    0.000 {id}
        1    0.001    0.001    0.003    0.003 manifest.py:36(<module>)
      470    0.003    0.000    0.003    0.000 version.py:353(_cmpkey)
